iter	Passed	Remaining
0	2	2286
1	5	2588
2	7	2478
3	9	2376
4	11	2377
5	14	2380
6	16	2325
7	18	2332
8	21	2398
9	24	2395
10	26	2409
11	28	2387
12	31	2367
13	34	2403
14	36	2383
15	38	2376
16	41	2383
17	43	2350
18	45	2348
19	48	2368
20	51	2382
21	53	2375
22	55	2356
23	58	2359
24	60	2363
25	62	2343
26	64	2329
27	67	2344
28	70	2351
29	72	2358
30	75	2345
31	77	2357
32	80	2358
33	82	2344
34	84	2336
35	87	2338
36	89	2331
37	92	2343
38	95	2350
39	97	2348
40	100	2341
41	102	2337
42	105	2347
43	107	2343
44	110	2336
45	112	2332
46	114	2331
47	117	2325
48	120	2330
49	122	2324
50	126	2352
51	129	2355
52	131	2358
53	134	2354
54	136	2348
55	139	2353
56	142	2354
57	145	2356
58	147	2355
59	150	2356
60	153	2356
61	155	2355
62	158	2352
63	160	2348
64	162	2343
65	165	2343
66	168	2345
67	171	2345
68	173	2346
69	176	2344
70	179	2344
71	181	2342
72	184	2337
73	187	2342
74	189	2339
75	192	2335
76	194	2328
77	196	2320
78	199	2323
79	201	2319
80	203	2313
81	207	2317
82	209	2311
83	211	2309
84	214	2308
85	216	2304
86	219	2301
87	222	2300
88	224	2293
89	226	2289
90	228	2280
91	230	2276
92	233	2273
93	235	2266
94	237	2258
95	239	2259
96	242	2255
97	245	2255
98	247	2253
99	249	2248
100	252	2245
101	254	2240
102	256	2232
103	259	2232
104	261	2229
105	264	2226
106	266	2223
107	268	2221
108	271	2217
109	273	2216
110	276	2212
111	278	2211
112	281	2207
113	283	2203
114	285	2199
115	288	2195
116	290	2190
117	292	2186
118	294	2183
119	297	2179
120	299	2176
121	301	2172
122	303	2166
123	306	2165
124	309	2164
125	311	2160
126	314	2160
127	316	2156
128	318	2153
129	321	2153
130	324	2150
131	326	2148
132	329	2144
133	331	2140
134	334	2140
135	336	2140
136	339	2139
137	342	2136
138	344	2134
139	347	2133
140	350	2134
141	353	2134
142	355	2133
143	358	2131
144	361	2130
145	364	2129
146	367	2131
147	369	2128
148	372	2125
149	375	2125
150	378	2126
151	380	2125
152	383	2121
153	385	2119
154	388	2117
155	390	2114
156	393	2114
157	396	2112
158	398	2107
159	401	2105
160	403	2103
161	406	2102
162	409	2100
163	411	2096
164	414	2095
165	416	2092
166	419	2090
167	421	2089
168	424	2088
169	427	2087
170	430	2084
171	432	2084
172	435	2080
173	437	2078
174	440	2077
175	443	2075
176	445	2070
177	447	2067
178	450	2065
179	453	2063
180	455	2062
181	458	2059
182	461	2061
183	464	2059
184	466	2056
185	469	2052
186	470	2047
187	473	2044
188	475	2042
189	478	2037
190	480	2036
191	483	2035
192	485	2031
193	488	2031
194	491	2028
195	493	2025
196	496	2021
197	498	2018
198	501	2017
199	503	2013
200	505	2008
201	507	2006
202	510	2004
203	512	2000
204	515	2000
205	518	1996
206	520	1994
207	522	1990
208	524	1986
209	527	1984
210	529	1980
211	532	1978
212	548	2026
213	550	2022
214	552	2017
215	555	2014
216	557	2011
217	559	2006
218	561	2003
219	564	2000
220	566	1996
221	569	1994
222	571	1991
223	573	1987
224	576	1984
225	578	1980
226	581	1979
227	583	1975
228	585	1970
229	587	1968
230	590	1964
231	592	1960
232	594	1957
233	596	1954
234	599	1951
235	602	1949
236	604	1946
237	607	1944
238	609	1940
239	611	1937
240	614	1934
241	616	1930
242	618	1926
243	621	1924
244	624	1924
245	627	1922
246	629	1918
247	631	1915
248	634	1912
249	636	1909
250	638	1905
251	640	1902
252	643	1899
253	645	1895
254	648	1893
255	650	1891
256	653	1888
257	655	1886
258	657	1882
259	659	1878
260	662	1874
261	664	1871
262	666	1868
263	668	1864
264	671	1862
265	673	1859
266	676	1856
267	678	1853
268	681	1852
269	684	1850
270	686	1847
271	689	1844
272	691	1841
273	694	1839
274	696	1835
275	698	1832
276	700	1829
277	703	1826
278	705	1824
279	708	1822
280	712	1821
281	714	1819
282	716	1815
283	719	1813
284	722	1811
285	724	1809
286	727	1806
287	729	1803
288	731	1800
289	734	1799
290	737	1797
291	740	1794
292	742	1792
293	744	1788
294	747	1786
295	750	1783
296	752	1780
297	754	1778
298	757	1776
299	760	1774
300	762	1771
301	764	1767
302	767	1764
303	769	1762
304	772	1760
305	775	1758
306	777	1755
307	780	1752
308	783	1751
309	785	1748
310	788	1747
311	790	1743
312	792	1740
313	795	1737
314	797	1733
315	799	1731
316	803	1730
317	805	1727
318	808	1725
319	810	1722
320	813	1719
321	815	1716
322	817	1712
323	819	1709
324	821	1706
325	824	1704
326	826	1701
327	828	1698
328	831	1695
329	833	1692
330	835	1689
331	838	1686
332	840	1684
333	843	1682
334	845	1679
335	847	1675
336	850	1672
337	852	1669
338	854	1666
339	857	1664
340	860	1662
341	862	1658
342	864	1656
343	867	1654
344	870	1651
345	872	1650
346	874	1646
347	877	1643
348	879	1640
349	881	1637
350	883	1634
351	886	1631
352	888	1628
353	891	1626
354	893	1623
355	895	1620
356	898	1618
357	900	1615
358	903	1612
359	905	1610
360	908	1607
361	910	1605
362	913	1602
363	916	1600
364	918	1598
365	920	1595
366	923	1592
367	925	1590
368	928	1587
369	930	1584
370	933	1582
371	935	1579
372	938	1577
373	941	1575
374	943	1572
375	946	1570
376	949	1568
377	951	1565
378	953	1562
379	956	1560
380	958	1557
381	961	1555
382	963	1552
383	966	1550
384	968	1547
385	971	1545
386	974	1542
387	977	1541
388	979	1538
389	981	1535
390	983	1532
391	986	1529
392	988	1526
393	990	1523
394	992	1520
395	994	1517
396	997	1515
397	1000	1512
398	1002	1510
399	1005	1508
400	1007	1505
401	1009	1502
402	1012	1499
403	1014	1496
404	1016	1493
405	1018	1490
406	1020	1487
407	1023	1484
408	1026	1482
409	1028	1479
410	1030	1477
411	1033	1475
412	1036	1473
413	1038	1470
414	1040	1467
415	1043	1465
416	1046	1462
417	1048	1459
418	1050	1456
419	1053	1454
420	1055	1451
421	1057	1448
422	1060	1445
423	1062	1443
424	1064	1440
425	1067	1438
426	1069	1435
427	1072	1432
428	1074	1429
429	1076	1427
430	1079	1425
431	1082	1422
432	1084	1420
433	1086	1417
434	1089	1414
435	1091	1411
436	1093	1409
437	1096	1406
438	1098	1403
439	1100	1401
440	1103	1398
441	1105	1395
442	1107	1393
443	1110	1390
444	1113	1388
445	1115	1385
446	1117	1382
447	1119	1379
448	1121	1376
449	1124	1374
450	1126	1371
451	1129	1368
452	1131	1366
453	1133	1363
454	1135	1360
455	1137	1357
456	1140	1355
457	1143	1352
458	1145	1350
459	1148	1347
460	1150	1345
461	1152	1342
462	1154	1339
463	1157	1336
464	1159	1334
465	1161	1331
466	1163	1328
467	1166	1326
468	1168	1323
469	1171	1321
470	1173	1318
471	1176	1316
472	1179	1314
473	1181	1311
474	1184	1308
475	1187	1307
476	1190	1305
477	1192	1302
478	1195	1299
479	1198	1298
480	1201	1296
481	1203	1293
482	1206	1290
483	1208	1288
484	1211	1286
485	1214	1284
486	1217	1282
487	1219	1279
488	1221	1276
489	1224	1274
490	1227	1272
491	1230	1270
492	1232	1267
493	1234	1264
494	1237	1262
495	1239	1259
496	1242	1257
497	1244	1254
498	1247	1252
499	1249	1249
500	1252	1247
501	1254	1244
502	1257	1242
503	1259	1239
504	1261	1236
505	1264	1234
506	1266	1231
507	1268	1228
508	1271	1226
509	1273	1223
510	1275	1220
511	1278	1218
512	1280	1215
513	1283	1213
514	1286	1211
515	1287	1208
516	1292	1207
517	1294	1204
518	1296	1201
519	1298	1199
520	1301	1196
521	1303	1194
522	1306	1191
523	1308	1188
524	1311	1186
525	1313	1183
526	1315	1181
527	1318	1178
528	1320	1175
529	1323	1173
530	1326	1171
531	1328	1168
532	1331	1166
533	1333	1163
534	1335	1161
535	1338	1158
536	1340	1155
537	1342	1153
538	1345	1150
539	1347	1147
540	1349	1145
541	1352	1143
542	1355	1140
543	1357	1137
544	1359	1135
545	1362	1132
546	1364	1130
547	1366	1127
548	1369	1124
549	1371	1122
550	1373	1119
551	1376	1117
552	1378	1114
553	1381	1111
554	1396	1119
555	1398	1116
556	1400	1114
557	1402	1111
558	1405	1108
559	1407	1105
560	1409	1103
561	1412	1100
562	1414	1098
563	1417	1095
564	1419	1093
565	1422	1090
566	1424	1087
567	1426	1085
568	1429	1082
569	1431	1079
570	1433	1077
571	1435	1074
572	1438	1072
573	1441	1069
574	1444	1067
575	1446	1065
576	1449	1062
577	1451	1059
578	1453	1057
579	1456	1054
580	1458	1052
581	1461	1049
582	1464	1047
583	1466	1044
584	1469	1042
585	1471	1039
586	1473	1037
587	1476	1034
588	1478	1031
589	1480	1028
590	1482	1025
591	1485	1023
592	1487	1021
593	1490	1018
594	1492	1016
595	1495	1013
596	1498	1011
597	1500	1008
598	1503	1006
599	1506	1004
600	1508	1001
601	1510	998
602	1512	996
603	1515	993
604	1517	990
605	1519	988
606	1522	985
607	1525	983
608	1527	980
609	1530	978
610	1532	975
611	1535	973
612	1537	970
613	1540	968
614	1542	965
615	1544	963
616	1547	960
617	1549	957
618	1551	955
619	1554	952
620	1557	950
621	1559	948
622	1562	945
623	1564	942
624	1566	940
625	1569	937
626	1571	934
627	1573	932
628	1576	929
629	1578	927
630	1580	924
631	1583	921
632	1585	919
633	1588	916
634	1591	914
635	1593	911
636	1595	909
637	1597	906
638	1600	903
639	1602	901
640	1605	898
641	1607	896
642	1609	893
643	1612	891
644	1614	888
645	1616	885
646	1618	883
647	1621	880
648	1623	877
649	1625	875
650	1627	872
651	1629	869
652	1631	867
653	1633	864
654	1635	861
655	1638	859
656	1640	856
657	1642	853
658	1645	851
659	1647	848
660	1649	845
661	1651	843
662	1654	840
663	1656	838
664	1658	835
665	1660	832
666	1663	830
667	1665	827
668	1667	825
669	1670	822
670	1672	820
671	1674	817
672	1676	814
673	1678	812
674	1680	809
675	1682	806
676	1685	804
677	1687	801
678	1690	799
679	1692	796
680	1695	794
681	1697	791
682	1699	788
683	1701	786
684	1704	783
685	1706	781
686	1708	778
687	1710	775
688	1713	773
689	1715	770
690	1718	768
691	1720	765
692	1722	763
693	1725	760
694	1727	758
695	1730	755
696	1732	752
697	1734	750
698	1736	747
699	1739	745
700	1741	742
701	1744	740
702	1746	737
703	1749	735
704	1751	732
705	1753	730
706	1755	727
707	1758	725
708	1760	722
709	1761	719
710	1764	717
711	1766	714
712	1768	711
713	1771	709
714	1774	707
715	1776	704
716	1779	702
717	1781	699
718	1784	697
719	1786	694
720	1788	692
721	1791	689
722	1793	687
723	1796	684
724	1798	682
725	1801	679
726	1804	677
727	1806	675
728	1808	672
729	1811	670
730	1813	667
731	1816	665
732	1818	662
733	1820	659
734	1822	657
735	1825	654
736	1827	652
737	1829	649
738	1832	647
739	1835	644
740	1837	642
741	1839	639
742	1841	637
743	1844	634
744	1847	632
745	1849	629
746	1852	627
747	1854	624
748	1856	622
749	1858	619
750	1860	616
751	1863	614
752	1866	612
753	1868	609
754	1870	607
755	1872	604
756	1874	601
757	1877	599
758	1879	596
759	1881	594
760	1884	591
761	1886	589
762	1888	586
763	1892	584
764	1894	581
765	1896	579
766	1898	576
767	1900	574
768	1903	571
769	1906	569
770	1908	566
771	1911	564
772	1913	561
773	1916	559
774	1918	557
775	1920	554
776	1923	551
777	1925	549
778	1928	546
779	1930	544
780	1932	542
781	1935	539
782	1937	537
783	1940	534
784	1943	532
785	1945	529
786	1947	527
787	1950	524
788	1952	522
789	1954	519
790	1957	517
791	1959	514
792	1961	512
793	1964	509
794	1967	507
795	1969	504
796	1972	502
797	1974	499
798	1976	497
799	1979	494
800	1981	492
801	1984	489
802	1986	487
803	1988	484
804	1991	482
805	1993	479
806	1996	477
807	1998	474
808	2001	472
809	2003	469
810	2005	467
811	2007	464
812	2010	462
813	2013	459
814	2015	457
815	2018	455
816	2020	452
817	2022	450
818	2025	447
819	2027	445
820	2029	442
821	2032	440
822	2035	437
823	2037	435
824	2039	432
825	2042	430
826	2045	427
827	2047	425
828	2049	422
829	2052	420
830	2054	417
831	2057	415
832	2059	412
833	2061	410
834	2063	407
835	2066	405
836	2068	402
837	2070	400
838	2072	397
839	2075	395
840	2077	392
841	2079	390
842	2082	387
843	2084	385
844	2087	382
845	2089	380
846	2092	377
847	2094	375
848	2096	372
849	2099	370
850	2101	368
851	2104	365
852	2107	363
853	2109	360
854	2112	358
855	2114	355
856	2116	353
857	2119	350
858	2122	348
859	2124	345
860	2126	343
861	2129	340
862	2131	338
863	2134	335
864	2136	333
865	2139	331
866	2141	328
867	2143	325
868	2145	323
869	2147	320
870	2150	318
871	2152	315
872	2154	313
873	2156	310
874	2160	308
875	2162	306
876	2164	303
877	2167	301
878	2169	298
879	2171	296
880	2173	293
881	2176	291
882	2178	288
883	2181	286
884	2183	283
885	2185	281
886	2188	278
887	2190	276
888	2193	273
889	2195	271
890	2198	268
891	2200	266
892	2202	263
893	2204	261
894	2206	258
895	2208	256
896	2211	253
897	2213	251
898	2215	248
899	2218	246
900	2220	244
901	2223	241
902	2225	239
903	2227	236
904	2229	234
905	2232	231
906	2234	229
907	2236	226
908	2239	224
909	2241	221
910	2243	219
911	2245	216
912	2248	214
913	2250	211
914	2252	209
915	2254	206
916	2256	204
917	2259	201
918	2261	199
919	2263	196
920	2265	194
921	2267	191
922	2269	189
923	2272	186
924	2275	184
925	2278	182
926	2280	179
927	2282	177
928	2285	174
929	2287	172
930	2289	169
931	2291	167
932	2293	164
933	2296	162
934	2298	159
935	2301	157
936	2303	154
937	2305	152
938	2308	149
939	2310	147
940	2312	144
941	2315	142
942	2317	140
943	2319	137
944	2321	135
945	2324	132
946	2326	130
947	2329	127
948	2332	125
949	2334	122
950	2336	120
951	2338	117
952	2340	115
953	2342	112
954	2345	110
955	2347	108
956	2349	105
957	2352	103
958	2354	100
959	2356	98
960	2359	95
961	2362	93
962	2365	90
963	2367	88
964	2369	85
965	2371	83
966	2373	81
967	2376	78
968	2388	76
969	2390	73
970	2393	71
971	2395	68
972	2397	66
973	2400	64
974	2402	61
975	2404	59
976	2407	56
977	2409	54
978	2411	51
979	2413	49
980	2415	46
981	2418	44
982	2420	41
983	2423	39
984	2425	36
985	2427	34
986	2430	32
987	2432	29
988	2434	27
989	2437	24
990	2439	22
991	2441	19
992	2444	17
993	2446	14
994	2448	12
995	2451	9
996	2453	7
997	2455	4
998	2457	2
999	2460	0
