iter	Passed	Remaining
0	3	3329
1	6	3287
2	9	3301
3	13	3270
4	16	3196
5	19	3159
6	22	3222
7	25	3192
8	28	3163
9	31	3137
10	34	3112
11	37	3123
12	41	3116
13	44	3106
14	46	3068
15	49	3030
16	52	3035
17	55	3035
18	58	3024
19	61	3035
20	65	3032
21	67	3014
22	70	3015
23	73	3002
24	76	2990
25	79	2973
26	82	2971
27	85	2980
28	88	2974
29	91	2974
30	95	2973
31	97	2960
32	101	2961
33	103	2954
34	106	2942
35	109	2940
36	112	2928
37	115	2921
38	118	2931
39	122	2947
40	126	2956
41	129	2952
42	132	2949
43	135	2950
44	139	2951
45	141	2939
46	144	2931
47	147	2922
48	151	2933
49	154	2930
50	157	2930
51	160	2927
52	163	2920
53	166	2915
54	169	2910
55	172	2910
56	176	2915
57	179	2916
58	182	2915
59	185	2913
60	189	2919
61	192	2918
62	195	2909
63	198	2904
64	201	2901
65	205	2904
66	208	2897
67	211	2895
68	215	2902
69	218	2901
70	221	2900
71	224	2898
72	227	2892
73	230	2887
74	233	2884
75	236	2880
76	239	2875
77	243	2876
78	247	2881
79	250	2876
80	253	2870
81	256	2871
82	259	2866
83	262	2860
84	265	2857
85	268	2851
86	271	2846
87	274	2843
88	278	2846
89	281	2850
90	284	2846
91	288	2844
92	291	2841
93	294	2838
94	298	2839
95	301	2838
96	304	2835
97	307	2830
98	311	2834
99	314	2832
100	317	2830
101	320	2825
102	324	2822
103	327	2821
104	330	2817
105	333	2811
106	335	2800
107	338	2795
108	341	2789
109	344	2789
110	347	2783
111	350	2776
112	352	2769
113	355	2763
114	358	2757
115	360	2749
116	363	2741
117	365	2734
118	368	2729
119	371	2725
120	375	2724
121	377	2719
122	381	2716
123	383	2711
124	386	2706
125	389	2702
126	392	2697
127	395	2692
128	398	2692
129	401	2685
130	405	2688
131	408	2684
132	411	2684
133	414	2677
134	417	2673
135	420	2671
136	423	2667
137	426	2663
138	428	2657
139	432	2654
140	435	2650
141	438	2648
142	441	2644
143	443	2638
144	447	2636
145	449	2631
146	452	2626
147	455	2621
148	458	2616
149	460	2612
150	464	2608
151	466	2603
152	469	2599
153	472	2597
154	475	2593
155	478	2589
156	481	2583
157	484	2579
158	486	2573
159	489	2568
160	492	2564
161	494	2557
162	496	2551
163	499	2546
164	503	2546
165	506	2542
166	508	2538
167	511	2533
168	514	2527
169	516	2523
170	519	2518
171	521	2511
172	524	2508
173	527	2504
174	530	2501
175	534	2501
176	537	2500
177	541	2498
178	544	2495
179	547	2492
180	550	2491
181	553	2487
182	555	2481
183	558	2477
184	561	2474
185	564	2470
186	567	2469
187	571	2466
188	573	2462
189	576	2456
190	579	2452
191	581	2447
192	584	2443
193	586	2438
194	589	2434
195	592	2430
196	595	2426
197	598	2426
198	601	2423
199	605	2420
200	608	2417
201	610	2413
202	613	2410
203	617	2408
204	620	2405
205	622	2399
206	625	2397
207	628	2393
208	632	2393
209	635	2388
210	637	2385
211	640	2381
212	643	2376
213	645	2372
214	648	2367
215	651	2363
216	654	2360
217	656	2356
218	659	2352
219	662	2349
220	665	2345
221	668	2341
222	670	2336
223	673	2332
224	676	2329
225	679	2326
226	681	2321
227	684	2318
228	687	2314
229	690	2310
230	692	2305
231	695	2303
232	698	2300
233	701	2297
234	704	2294
235	707	2290
236	710	2286
237	712	2282
238	715	2277
239	718	2274
240	720	2269
241	723	2266
242	726	2263
243	728	2258
244	731	2255
245	734	2251
246	737	2248
247	740	2244
248	742	2240
249	745	2237
250	748	2232
251	750	2228
252	753	2225
253	756	2220
254	759	2218
255	762	2214
256	765	2212
257	767	2208
258	770	2203
259	773	2200
260	775	2196
261	778	2193
262	781	2189
263	784	2185
264	786	2182
265	790	2180
266	793	2178
267	796	2175
268	799	2171
269	801	2168
270	805	2165
271	807	2161
272	810	2157
273	813	2154
274	815	2150
275	818	2148
276	822	2145
277	825	2142
278	828	2139
279	830	2135
280	833	2131
281	835	2127
282	839	2127
283	841	2122
284	844	2119
285	847	2116
286	850	2113
287	853	2109
288	856	2106
289	859	2103
290	862	2100
291	864	2097
292	867	2093
293	870	2090
294	873	2086
295	875	2082
296	878	2079
297	881	2075
298	883	2071
299	886	2069
300	889	2066
301	892	2063
302	895	2060
303	898	2057
304	901	2054
305	904	2051
306	906	2047
307	909	2043
308	912	2040
