HomeTeam,AwayTeam,FTR,head_to_head_games,head_to_head_goals_scored_home_team,head_to_head_goals_conceded_home_team,head_to_head_goals_scored_away_team,head_to_head_goals_conceded_away_team,home_average_goals_scored_5,home_average_goals_conceded_5,home_average_goal_difference_5,away_average_goals_scored_5,away_average_goals_conceded_5,away_average_goal_difference_5,home_average_goals_scored_10,home_average_goals_conceded_10,home_average_goal_difference_10,away_average_goals_scored_10,away_average_goals_conceded_10,away_average_goal_difference_10,home_average_goals_scored_20,home_average_goals_conceded_20,home_average_goal_difference_20,away_average_goals_scored_20,away_average_goals_conceded_20,away_average_goal_difference_20
Kortrijk,St Truiden,D,10,7.0,10.0,10.0,7.0,0.8,1.4,-0.5999999999999999,1.0,2.8,-1.7999999999999998,1.0,1.6,-0.6000000000000001,1.1,2.1,-1.0,1.0,1.5,-0.5,1.15,1.9,-0.75
St. Gilloise,Anderlecht,D,8,14.0,7.0,7.0,14.0,1.4,1.0,0.3999999999999999,1.6,1.2,0.40000000000000013,1.7,0.9,0.7999999999999999,1.4,0.9,0.4999999999999999,1.65,1.05,0.5999999999999999,1.6,0.95,0.6500000000000001
Gent,Antwerp,D,10,6.0,14.0,14.0,6.0,1.4,0.8,0.5999999999999999,1.6,1.0,0.6000000000000001,2.0,1.0,1.0,1.4,1.5,-0.10000000000000009,2.3,1.05,1.2499999999999998,1.1,1.35,-0.25
Club Brugge,Cercle Brugge,H,12,17.0,10.0,10.0,17.0,1.2,1.2,0.0,1.2,1.4,-0.19999999999999996,1.4,0.9,0.4999999999999999,1.4,1.5,-0.10000000000000009,1.8,0.9,0.9,1.5,1.25,0.25
Oud-Heverlee Leuven,Standard,H,10,16.0,11.0,11.0,16.0,1.2,0.8,0.3999999999999999,0.4,0.2,0.2,1.2,1.1,0.09999999999999987,0.7,1.2,-0.5,1.05,1.1,-0.050000000000000044,1.25,1.5,-0.25
Beerschot VA,Dender,A,0,0.0,0.0,0.0,0.0,1.0,2.4,-1.4,2.0,1.4,0.6000000000000001,0.9,2.7,-1.8000000000000003,0.0,0.0,0.0,1.15,2.7,-1.5500000000000003,0.0,0.0,0.0
Mechelen,Charleroi,H,10,20.0,14.0,14.0,20.0,1.0,1.6,-0.6000000000000001,1.2,0.6,0.6,1.6,1.6,0.0,1.7,0.7,1.0,1.75,1.5,0.25,1.05,1.05,0.0
Genk,Westerlo,H,4,13.0,7.0,7.0,13.0,1.6,1.8,-0.19999999999999996,2.6,2.0,0.6000000000000001,1.1,2.0,-0.8999999999999999,2.0,1.9,0.10000000000000009,1.1,1.55,-0.44999999999999996,1.55,1.95,-0.3999999999999999
Charleroi,Kortrijk,H,11,16.0,10.0,10.0,16.0,1.6,0.8,0.8,1.0,1.8,-0.8,1.6,0.7,0.9000000000000001,1.1,1.6,-0.5,1.05,1.25,-0.19999999999999996,1.05,1.45,-0.3999999999999999
Standard,Beerschot VA,H,4,8.0,0.0,0.0,8.0,0.6,0.8,-0.20000000000000007,1.0,3.2,-2.2,0.9,1.5,-0.6,0.9,2.7,-1.8000000000000003,1.3,1.6,-0.30000000000000004,1.15,2.75,-1.6
St Truiden,St. Gilloise,D,6,5.0,11.0,11.0,5.0,1.0,3.2,-2.2,1.8,1.0,0.8,1.1,2.3,-1.1999999999999997,2.0,0.9,1.1,1.2,1.9,-0.7,1.75,1.15,0.6000000000000001
