day,HomeTeam,AwayTeam
5,Cercle Brugge,Gent
5,Anderlecht,Genk
7,Dender,Standard
7,Cercle Brugge,Genk
7,Kortrijk,Club Brugge
7,Anderlecht,Westerlo
7,Antwerp,St. Gilloise
7,St Truiden,Oud-Heverlee Leuven
7,Charleroi,Beerschot VA
7,Gent,Mechelen
8,Standard,St. Gilloise
8,Beerschot VA,St Truiden
8,Westerlo,Antwerp
8,Anderlecht,Charleroi
8,Club Brugge,Gent
8,Mechelen,Cercle Brugge
8,Genk,Dender
8,Oud-Heverlee Leuven,Kortrijk
9,Charleroi,Club Brugge
9,Genk,Mechelen
9,Standard,Westerlo
9,Dender,Anderlecht
9,Antwerp,Beerschot VA
9,St. Gilloise,Kortrijk
9,Gent,Oud-Heverlee Leuven
9,Cercle Brugge,St Truiden
10,Westerlo,Beerschot VA
10,Mechelen,Oud-Heverlee Leuven
10,Kortrijk,Genk
10,Dender,Charleroi
10,Anderlecht,Standard
10,Antwerp,Cercle Brugge
10,Club Brugge,St. Gilloise
10,St Truiden,Gent
11,Beerschot VA,Anderlecht
11,Westerlo,Club Brugge
11,Cercle Brugge,Dender
11,St. Gilloise,Gent
11,Genk,St Truiden
11,Oud-Heverlee Leuven,Antwerp
11,Standard,Charleroi
11,Mechelen,Kortrijk
12,Kortrijk,Beerschot VA
12,Charleroi,Oud-Heverlee Leuven
12,Dender,Mechelen
12,St Truiden,Westerlo
12,Club Brugge,Anderlecht
12,Antwerp,Standard
12,Gent,Genk
12,St. Gilloise,Cercle Brugge
13,Westerlo,Dender
13,Standard,St Truiden
13,Oud-Heverlee Leuven,Club Brugge
13,Mechelen,St. Gilloise
13,Genk,Antwerp
13,Cercle Brugge,Charleroi
13,Anderlecht,Kortrijk
13,Beerschot VA,Gent
14,St Truiden,Mechelen
14,Kortrijk,Antwerp
14,Dender,Oud-Heverlee Leuven
14,Charleroi,Westerlo
14,Cercle Brugge,Anderlecht
14,Gent,Standard
14,St. Gilloise,Genk
14,Beerschot VA,Club Brugge
15,Antwerp,Dender
15,Club Brugge,St Truiden
15,Standard,Cercle Brugge
15,Genk,Charleroi
15,Mechelen,Beerschot VA
15,Oud-Heverlee Leuven,St. Gilloise
15,Anderlecht,Gent
15,Westerlo,Kortrijk
16,Kortrijk,Mechelen
16,Club Brugge,Dender
16,Charleroi,Standard
16,St Truiden,Genk
16,Beerschot VA,Cercle Brugge
16,Oud-Heverlee Leuven,Anderlecht
16,St. Gilloise,Antwerp
16,Westerlo,Gent
17,Genk,Kortrijk
17,Mechelen,Club Brugge
