HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,AvgH,AvgD,AvgA
Kortrijk,St Truiden,1.0,1.0,D,0.0,1.0,15.0,8.0,4.0,3.0,8.0,12.0,8.0,6.0,1.0,1.0,0.0,0.0,2.12,3.46,3.4,2.1,3.49,3.34
St. Gilloise,Anderlecht,0.0,0.0,D,0.0,0.0,22.0,10.0,6.0,5.0,10.0,13.0,8.0,4.0,3.0,4.0,0.0,0.0,2.07,3.71,3.3,2.05,3.67,3.3
Gent,Antwerp,1.0,1.0,D,1.0,1.0,15.0,15.0,8.0,10.0,18.0,10.0,1.0,5.0,4.0,3.0,0.0,0.0,2.5,3.58,2.66,2.49,3.58,2.63
Club Brugge,Cercle Brugge,3.0,0.0,H,2.0,0.0,21.0,11.0,10.0,3.0,8.0,8.0,4.0,5.0,1.0,1.0,0.0,0.0,1.51,4.46,5.72,1.52,4.45,5.5
Oud-Heverlee Leuven,Standard,2.0,0.0,H,1.0,0.0,13.0,4.0,4.0,0.0,10.0,17.0,11.0,3.0,4.0,4.0,0.0,0.0,1.93,3.38,4.09,1.93,3.44,3.93
Beerschot VA,Dender,1.0,2.0,A,0.0,2.0,15.0,16.0,4.0,4.0,17.0,22.0,0.0,2.0,4.0,1.0,0.0,0.0,2.9,3.36,2.43,2.86,3.37,2.41
Mechelen,Charleroi,5.0,2.0,H,3.0,2.0,11.0,25.0,7.0,6.0,9.0,11.0,0.0,7.0,1.0,3.0,0.0,0.0,2.71,3.59,2.52,2.68,3.46,2.51
Genk,Westerlo,1.0,0.0,H,0.0,0.0,15.0,9.0,5.0,0.0,4.0,16.0,0.0,1.0,1.0,5.0,0.0,0.0,1.66,4.33,4.77,1.65,4.26,4.55
Charleroi,Kortrijk,1.0,0.0,H,1.0,0.0,12.0,5.0,3.0,1.0,8.0,11.0,4.0,2.0,1.0,3.0,0.0,0.0,1.72,3.79,4.6,1.75,3.7,4.51
Standard,Beerschot VA,1.0,0.0,H,0.0,0.0,12.0,11.0,3.0,2.0,7.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0,1.77,3.83,4.3,1.77,3.81,4.27
St Truiden,St. Gilloise,0.0,0.0,D,0.0,0.0,5.0,13.0,0.0,2.0,11.0,11.0,3.0,8.0,2.0,3.0,1.0,0.0,6.26,4.45,1.47,5.98,4.35,1.5
Dender,Club Brugge,1.0,2.0,A,1.0,2.0,11.0,13.0,5.0,4.0,13.0,13.0,6.0,1.0,3.0,2.0,0.0,0.0,5.09,4.41,1.56,5.12,4.3,1.57
Antwerp,Mechelen,0.0,1.0,A,0.0,1.0,19.0,13.0,4.0,4.0,9.0,11.0,14.0,2.0,2.0,2.0,0.0,0.0,1.53,4.31,5.59,1.55,4.27,5.4
