team,5_AGS,5_AGC,5_AGD,5_AS,5_AST,5_AF,5_AC,5_AY,5_AR,home_average_goals_scored_5,home_average_goals_conceded_5,home_average_goal_difference_5,home_average_shots_5,home_average_shots_on_target_5,home_average_fouls_5,home_average_corners_5,home_average_yellow_cards_5,home_average_red_cards_5,away_average_goals_scored_5,away_average_goals_conceded_5,away_average_goal_difference_5,away_average_shots_5,away_average_shots_on_target_5,away_average_fouls_5,away_average_corners_5,away_average_yellow_cards_5,away_average_red_cards_5
Kortrijk,1.0,1.4,-0.4,12.2,4.2,9.8,7.8,2.4,0.2,1.0,1.2,-0.2,17.0,5.8,10.6,9.4,2.0,0.0,1.0,1.8,-0.8,8.8,3.2,10.0,5.6,2.6,0.2
St. Gilloise,1.4,1.0,0.4,15.4,4.6,12.4,6.2,2.4,0.0,1.2,0.2,1.0,18.0,6.0,13.2,7.0,2.6,0.0,1.4,1.4,0.0,13.6,4.6,13.0,5.6,2.6,0.0
Gent,1.4,1.0,0.4,12.0,4.2,10.6,4.2,1.8,0.0,1.6,1.0,0.6,12.8,5.0,11.8,5.6,1.6,0.0,2.0,0.8,1.2,11.8,3.6,8.2,4.4,1.0,0.0
Club Brugge,1.6,1.0,0.6,16.2,6.4,9.4,5.2,1.6,0.0,1.4,0.6,0.8,19.4,5.8,10.4,6.2,1.0,0.0,1.4,1.2,0.2,14.0,4.6,9.2,4.4,2.0,0.0
Oud-Heverlee Leuven,1.6,0.8,0.8,11.8,5.0,12.2,5.8,2.6,0.2,2.0,1.0,1.0,12.4,5.0,10.8,4.8,2.8,0.6,0.8,0.6,0.2,9.8,3.8,13.4,3.6,1.6,0.0
Beerschot VA,1.2,2.8,-1.6,10.2,3.6,11.2,2.8,2.6,0.2,1.0,2.2,-1.2,9.0,2.8,12.4,3.2,2.8,0.0,1.0,2.6,-1.6,7.4,2.6,10.6,3.4,3.0,0.4
Mechelen,1.8,1.8,0.0,13.4,5.2,11.0,4.4,1.8,0.0,2.6,3.0,-0.4,16.0,7.4,10.8,6.4,2.0,0.0,1.0,0.6,0.4,10.2,3.6,10.0,2.6,1.2,0.0
Genk,1.8,1.6,0.2,15.8,5.6,10.8,5.6,1.2,0.2,1.0,0.6,0.4,13.8,4.4,11.2,4.2,2.2,0.0,1.4,2.8,-1.4,14.0,4.8,13.6,4.2,1.8,0.4
Charleroi,1.6,1.4,0.2,15.0,4.4,11.8,4.4,2.4,0.0,1.2,0.4,0.8,14.4,5.6,12.0,5.0,2.0,0.0,2.2,1.8,0.4,14.0,4.6,12.2,4.8,2.0,0.0
Standard,0.4,0.6,-0.2,9.8,1.8,10.8,2.8,1.2,0.2,0.8,1.0,-0.2,13.4,3.4,8.2,4.2,0.4,0.0,0.6,1.8,-1.2,5.8,1.2,12.8,1.8,2.0,0.2
St Truiden,1.2,2.8,-1.6,8.6,3.2,9.4,3.4,1.0,0.2,1.4,1.8,-0.4,8.0,2.8,9.2,2.6,1.4,0.2,0.8,2.4,-1.6,9.6,3.2,10.6,3.2,0.6,0.0
Dender,2.4,1.6,0.8,14.0,5.4,12.8,4.2,1.6,0.0,1.67,1.0,0.67,8.67,3.67,11.67,4.33,2.33,0.0,2.33,1.67,0.66,15.67,5.33,13.67,4.0,1.67,0.0
Antwerp,1.6,1.2,0.4,15.0,6.4,10.6,7.8,2.4,0.2,2.2,1.4,0.8,16.8,5.6,9.4,7.2,1.8,0.0,0.6,1.4,-0.8,11.8,5.0,10.4,5.8,2.8,0.2
